League Name,League Level,League Season,Matchday,Match Date,Match Time,Host Team ID,Host Team Name,Host Team Hometown,Host Team URL,Guest Team ID,Guest Team Name,Guest Team Hometown,Guest Team URL,Goals Host,Goals Guest
Superliga Srbije,1,2018-2019,1,20.07.2018,20:00,1,Crvena zvezda,Beograd,https://www.srbijasport.net/club/45-crvena-zvezda-beograd/results,2,Dinamo,Vranje,https://www.srbijasport.net/club/58-dinamo-vranje/results,3,0
Superliga Srbije,1,2018-2019,1,22.07.2018,20:00,3,Radnički (N),Niš,https://www.srbijasport.net/club/84-radnicki-n-nis/results,4,Proleter,Novi Sad,https://www.srbijasport.net/club/324-proleter-novi-sad/results,3,1
Superliga Srbije,1,2018-2019,1,21.07.2018,20:00,5,Voždovac,Beograd,https://www.srbijasport.net/club/46-vozdovac-beograd/results,6,OFK Bačka,Bačka Palanka,https://www.srbijasport.net/club/92-ofk-backa-backa-palanka/results,1,0
Superliga Srbije,1,2018-2019,1,23.07.2018,17:00,7,Spartak ŽK,Subotica,https://www.srbijasport.net/club/72-spartak-zk-subotica/results,8,Mačva,Šabac,https://www.srbijasport.net/club/85-macva-sabac/results,1,0
Superliga Srbije,1,2018-2019,1,21.07.2018,20:00,9,Napredak,Kruševac,https://www.srbijasport.net/club/90-napredak-krusevac/results,10,Rad,Beograd,https://www.srbijasport.net/club/49-rad-beograd/results,1,0
Superliga Srbije,1,2018-2019,1,21.07.2018,20:00,11,Čukarički,Beograd,https://www.srbijasport.net/club/89-cukaricki-beograd/results,12,Zemun,Zemun,https://www.srbijasport.net/club/41-zemun-zemun/results,1,1
Superliga Srbije,1,2018-2019,1,20.07.2018,20:00,13,Vojvodina,Novi Sad,https://www.srbijasport.net/club/42-vojvodina-novi-sad/results,14,Mladost,Lučani,https://www.srbijasport.net/club/7-mladost-lucani/results,1,1
Superliga Srbije,1,2018-2019,1,22.07.2018,19:00,15,Radnik,Surdulica,https://www.srbijasport.net/club/487-radnik-surdulica/results,16,Partizan,Beograd,https://www.srbijasport.net/club/37-partizan-beograd/results,1,0
Superliga Srbije,1,2018-2019,1,29.07.2018,19:00,2,Dinamo,Vranje,https://www.srbijasport.net/club/58-dinamo-vranje/results,16,Partizan,Beograd,https://www.srbijasport.net/club/37-partizan-beograd/results,0,1
Superliga Srbije,1,2018-2019,1,28.07.2018,19:00,14,Mladost,Lučani,https://www.srbijasport.net/club/7-mladost-lucani/results,15,Radnik,Surdulica,https://www.srbijasport.net/club/487-radnik-surdulica/results,1,0
Superliga Srbije,1,2018-2019,1,28.07.2018,17:00,12,Zemun,Zemun,https://www.srbijasport.net/club/41-zemun-zemun/results,13,Vojvodina,Novi Sad,https://www.srbijasport.net/club/42-vojvodina-novi-sad/results,1,1
Superliga Srbije,1,2018-2019,1,28.07.2018,19:00,10,Rad,Beograd,https://www.srbijasport.net/club/49-rad-beograd/results,11,Čukarički,Beograd,https://www.srbijasport.net/club/89-cukaricki-beograd/results,0,3
Superliga Srbije,1,2018-2019,1,28.07.2018,19:00,8,Mačva,Šabac,https://www.srbijasport.net/club/85-macva-sabac/results,9,Napredak,Kruševac,https://www.srbijasport.net/club/90-napredak-krusevac/results,1,0
Superliga Srbije,1,2018-2019,1,29.07.2018,17:00,6,OFK Bačka,Bačka Palanka,https://www.srbijasport.net/club/92-ofk-backa-backa-palanka/results,7,Spartak ŽK,Subotica,https://www.srbijasport.net/club/72-spartak-zk-subotica/results,2,1
Superliga Srbije,1,2018-2019,1,28.07.2018,19:00,4,Proleter,Novi Sad,https://www.srbijasport.net/club/324-proleter-novi-sad/results,5,Voždovac,Beograd,https://www.srbijasport.net/club/46-vozdovac-beograd/results,2,1
